listingId,price,bathRoom,sameDayUpdate,age,housingComplex,authorizedRealtor,furnished,onlineVisit,hasBranded,hasUpdateBooster,attr_ADSL,attr_Balkon,attr_Çelik Kapı,attr_Isıcam,attr_Kablo TV-Uydu,attr_Mutfak Doğalgazı,attr_Panel Kapı,attr_Parke,attr_Seramik Zemin,attr_Otopark - Açık,attr_PVC Doğrama,attr_Cadde Üzerinde,attr_Caddeye yakın,attr_E-5'e yakın,attr_Manzara - Şehir,attr_Merkezde,attr_Minibüs / Dolmuşa yakın,attr_Otobana yakın,attr_Toplu Ulaşıma yakın,attr_Ankastre Mutfak,attr_Duşakabin,attr_Laminant Mutfak,attr_Denize yakın,attr_Açık Yüzme Havuzu,attr_Ebeveyn Banyolu,attr_Kartonpiyer,attr_Spot Işık,attr_Bahçeli,attr_Isı Yalıtım,attr_Manzara - Doğa,attr_Ahşap Doğrama,attr_Barbekü,attr_Teras,total_features,insaat_var_mi,floor_count,net,gross,kuzey,güney,doğu,batı,rental_amount,total_room_count,avg_area_per_room,clicked,SimplifiedSubcategory_diger,SimplifiedSubcategory_mustakil-ev,SimplifiedSubcategory_villa,district_name_Yalı,district_name_nadir mahalle,district_name_sıradan mahalle,district_name_sıradan üstü mahalle,district_name_çok nadir mahalle,district_name_çok çok nadir mahalle,district_name_çok çok çok nadir mahalle,county_name_Akyazı,county_name_Arifiye,county_name_Diğer,county_name_Erenler,county_name_Geyve,county_name_Hendek,county_name_Karasu,county_name_Kocaali,county_name_Pamukova,county_name_Sapanca,county_name_Serdivan,heating_name_Kombi,heating_name_Yerden Isıtma,buildState_name_İkinci El,usage_name_Boş,usage_name_Kiracılı,usage_name_Mülk Sahibi,credit_name_Uygun Değil,barter_name_Yapılır,roomAndLivingRoom_1+1,roomAndLivingRoom_2+0,roomAndLivingRoom_2+1,roomAndLivingRoom_3+1,roomAndLivingRoom_4+1,roomAndLivingRoom_4+2,roomAndLivingRoom_5+1,roomAndLivingRoom_5+2,roomAndLivingRoom_6+1,roomAndLivingRoom_6+2,roomAndLivingRoom_Diğer
78883-704,0.07299527781455492,0.11764705882352941,0,0.46153846153846156,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5757575757575758,0,0.5,0.19534883720930235,0.1400147383935153,1,1,0,0,0.30000000000000004,0.2727272727272727,0.3125,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
54537-3457,0.0435735616458508,0.11764705882352941,0,0.0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.42424242424242425,1,0.33333333333333337,0.13023255813953488,0.07811348563006643,1,1,1,1,0.0,0.1818181818181818,0.28125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
116181-160,0.573164452682525,0.23529411764705882,0,0.15384615384615385,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.2727272727272727,0,0.33333333333333337,0.3627906976744186,0.32866617538688325,0,0,0,0,0.5,0.36363636363636365,0.46875,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18262-757,0.09800373655795343,0.11764705882352941,0,0.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.33333333333333337,0.21395348837209305,0.1518054532056008,0,0,0,0,0.0,0.2727272727272727,0.34375,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
131612-1792,0.10830133721699986,0.3529411764705882,1,0.0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0.696969696969697,0,0.33333333333333337,0.25116279069767444,0.1960206337509214,0,1,1,1,0.0,0.2727272727272727,0.40625,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
147708-188,0.06269767715550847,0.11764705882352941,0,0.1076923076923077,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0.8181818181818182,0,0.33333333333333337,0.15813953488372093,0.10022107590272675,1,1,1,1,0.26,0.1818181818181818,0.34375,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
85563-1994,0.6172970269355812,0.7058823529411764,0,0.07692307692307693,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0.7575757575757576,0,0.33333333333333337,0.5488372093023256,1.0,0,1,1,1,0.0,0.5454545454545454,0.5044642857142857,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
116767-534,0.04651573326272121,0.11764705882352941,0,0.07692307692307693,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0.5151515151515151,0,0.33333333333333337,0.037209302325581395,0.007369196757553438,0,1,0,0,0.24000000000000002,0.09090909090909091,0.125,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
153064-88,0.15390499727849127,0.11764705882352941,1,0.0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0.33333333333333337,1,0.33333333333333337,0.2232558139534884,0.1518054532056008,0,1,0,1,0.0,0.2727272727272727,0.359375,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
154348-84,0.12007002368448151,0.23529411764705882,0,0.07692307692307693,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0.4545454545454546,0,0.33333333333333337,0.2418604651162791,0.18128224023581455,1,0,0,0,0.0,0.2727272727272727,0.390625,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
144178-338,0.07299527781455492,0.11764705882352941,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030303030303030304,0,0.16666666666666666,0.17674418604651163,0.12232866617538704,1,1,1,0,0.0,0.2727272727272727,0.28125,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
122716-1063,0.049457904879591626,0.11764705882352941,1,0.03076923076923077,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0.7272727272727273,1,0.33333333333333337,0.10232558139534885,0.05600589535740612,0,1,1,1,0.0,0.09090909090909091,0.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
123712-472,0.07887962104829574,0.11764705882352941,0,0.15384615384615385,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.12121212121212122,0,0.33333333333333337,0.12465116279069768,0.070744288872513,0,0,0,1,0.0,0.1818181818181818,0.26875000000000004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
76340-18854,0.052400076496462035,0.11764705882352941,0,0.03076923076923077,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030303030303030304,1,0.16666666666666666,0.14883720930232558,0.10022107590272675,1,1,1,1,0.0,0.1818181818181818,0.3229166666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
115668-2225,0.08035070685673094,0.11764705882352941,0,0.07692307692307693,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12121212121212122,0,0.33333333333333337,0.14883720930232558,0.10759027266028018,0,1,0,1,0.0,0.1818181818181818,0.3229166666666667,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
142839-134,0.5143210203451167,0.47058823529411764,1,0.03076923076923077,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.45581395348837217,0.4318349299926314,0,0,0,0,0.0,0.6363636363636364,0.359375,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131524-28,0.4554775880077085,0.23529411764705882,0,0.24615384615384617,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0.24242424242424243,0,0.33333333333333337,0.4,0.32866617538688325,1,1,1,1,0.0,0.2727272727272727,0.65625,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
125745-1460,0.0435735616458508,0.11764705882352941,1,0.07692307692307693,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0.5454545454545454,0,0.33333333333333337,0.0930232558139535,0.04863669859985269,1,1,1,1,0.0,0.09090909090909091,0.3125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
80009-1227,0.10238757226709033,0.3529411764705882,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0.3939393939393939,1,0.33333333333333337,0.17674418604651163,0.1518054532056008,1,1,0,1,0.0,0.2727272727272727,0.28125,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
120340-628,0.3319063800991512,0.3529411764705882,1,0.23076923076923078,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0.30303030303030304,0,0.33333333333333337,0.4,0.3434045689019901,0,1,1,0,0.0,0.6363636363636364,0.3125,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
76340-18690,0.07446636362299013,0.11764705882352941,0,0.07692307692307693,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.36363636363636365,1,0.33333333333333337,0.15813953488372093,0.12232866617538704,1,1,1,1,0.0,0.1818181818181818,0.34375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
138402-2086,0.3627991820762905,0.5882352941176471,1,0.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0.30303030303030304,0,0.33333333333333337,0.530232558139535,0.4023581429624177,1,1,1,1,0.0,0.4545454545454545,0.5729166666666667,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
76340-18689,0.07299527781455492,0.11764705882352941,0,0.0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.36363636363636365,1,0.33333333333333337,0.15813953488372093,0.12232866617538704,1,1,1,1,0.0,0.1818181818181818,0.34375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
76340-18820,0.05534224811333245,0.11764705882352941,0,0.0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030303030303030304,1,0.33333333333333337,0.14883720930232558,0.10022107590272675,1,1,1,1,0.0,0.1818181818181818,0.3229166666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
76340-18872,0.052400076496462035,0.11764705882352941,1,0.07692307692307693,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.16666666666666666,0.13023255813953488,0.07811348563006643,1,1,1,1,0.0,0.1818181818181818,0.28125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
76340-18839,0.1156567662591759,0.3529411764705882,1,0.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.33333333333333337,0.2697674418604651,0.2254974207811352,1,1,1,1,0.0,0.2727272727272727,0.4375,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
3006-6305,0.2642364329111317,0.23529411764705882,0,0.07692307692307693,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.33333333333333337,0.3441860465116279,0.3139277818717764,0,0,0,0,0.0,0.36363636363636365,0.44375000000000003,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
76340-18686,0.06122659134707327,0.11764705882352941,0,0.0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.36363636363636365,1,0.33333333333333337,0.1116279069767442,0.06337509211495955,1,1,1,1,0.0,0.09090909090909091,0.375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
76340-18528,0.08035070685673094,0.11764705882352941,0,0.0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030303030303030304,1,0.33333333333333337,0.14883720930232558,0.10022107590272675,1,1,1,1,0.0,0.1818181818181818,0.3229166666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
76340-18683,0.05092899068802683,0.11764705882352941,0,0.07692307692307693,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.36363636363636365,1,0.33333333333333337,0.1116279069767442,0.06337509211495955,1,1,1,1,0.0,0.09090909090909091,0.375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
76340-18804,0.049457904879591626,0.11764705882352941,0,0.03076923076923077,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030303030303030304,1,0.33333333333333337,0.0930232558139535,0.05600589535740612,1,1,1,1,0.0,0.09090909090909091,0.3125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
76340-18756,0.07299527781455492,0.11764705882352941,1,0.0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.36363636363636365,1,0.33333333333333337,0.15813953488372093,0.12232866617538704,1,1,1,1,0.0,0.1818181818181818,0.34375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
133590-436,0.08035070685673094,0.11764705882352941,0,0.3230769230769231,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030303030303030304,0,0.33333333333333337,0.2288372093023256,0.49078850405305896,0,0,0,0,0.0,0.2727272727272727,0.36875,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
76340-18841,0.11271459464230549,0.3529411764705882,0,0.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.33333333333333337,0.2697674418604651,0.2254974207811352,1,1,1,1,0.0,0.2727272727272727,0.4375,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
76340-18687,0.08035070685673094,0.11764705882352941,0,0.0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.36363636363636365,1,0.33333333333333337,0.15813953488372093,0.12232866617538704,1,1,1,1,0.0,0.1818181818181818,0.34375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
130421-2134,0.10300542830663312,0.23529411764705882,0,0.09230769230769231,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0.3939393939393939,0,0.33333333333333337,0.2046511627906977,0.16654384672070766,1,1,1,0,0.0,0.2727272727272727,0.328125,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
76340-18361,0.337790723332892,0.3529411764705882,1,0.0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0.6666666666666667,1,0.33333333333333337,0.3441860465116279,0.24760501105379548,1,1,1,1,0.0,0.36363636363636365,0.44375000000000003,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
134880-745,0.837959898200862,0.5882352941176471,0,0.0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0.30303030303030304,0,0.33333333333333337,0.6418604651162791,0.6529108327192346,1,1,1,1,0.0,0.5454545454545454,0.59375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
76340-18332,0.22010385865807552,0.3529411764705882,1,0.0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0.6666666666666667,1,0.33333333333333337,0.3441860465116279,0.24760501105379548,1,1,1,1,0.0,0.36363636363636365,0.44375000000000003,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
123174-1627,0.1892110566809362,0.23529411764705882,1,0.07692307692307693,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.33333333333333337,0.17674418604651163,1.0,0,0,0,0,0.0,0.1818181818181818,0.38541666666666674,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
146643-165,0.022978360327757918,0.11764705882352941,0,0.0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0.5151515151515151,1,0.33333333333333337,0.13023255813953488,0.08548268238761986,1,1,1,1,0.0,0.1818181818181818,0.28125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
121878-491,0.06416876296394368,0.11764705882352941,0,0.07692307692307693,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0.5757575757575758,1,0.33333333333333337,0.12093023255813953,0.08548268238761986,1,0,1,1,0.0,0.1818181818181818,0.2604166666666667,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
131681-1057,0.05563646527501949,0.11764705882352941,1,0.1076923076923077,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0.5454545454545454,0,0.33333333333333337,0.13023255813953488,0.07811348563006643,1,0,1,0,0.0,0.1818181818181818,0.28125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
80009-1244,0.1906821424893714,0.3529411764705882,0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0.36363636363636365,1,0.33333333333333337,0.40930232558139534,0.3139277818717764,1,1,1,1,0.0,0.4545454545454545,0.4375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
84727-1152,0.08329287847360137,0.11764705882352941,0,0.0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0.48484848484848486,1,0.16666666666666666,0.12279069767441861,0.07958732498157711,1,1,1,1,0.0,0.1818181818181818,0.26458333333333334,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
122716-1075,0.0685820203892493,0.11764705882352941,1,0.07692307692307693,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0.6666666666666667,1,0.33333333333333337,0.13953488372093023,0.08548268238761986,1,1,1,1,0.0,0.1818181818181818,0.30208333333333337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
146670-38,0.36721243950159616,0.11764705882352941,1,0.16923076923076924,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.09090909090909091,0,0.16666666666666666,0.26046511627906976,0.1960206337509214,1,1,1,1,0.0,0.2727272727272727,0.421875,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
114945-1080,0.04754549332862586,0.11764705882352941,0,0.046153846153846156,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030303030303030304,0,0.33333333333333337,0.08744186046511629,0.04863669859985269,0,1,1,0,0.0,0.09090909090909091,0.29375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
84108-1460,0.052105859334775,0.11764705882352941,0,0.15384615384615385,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.36363636363636365,0,0.33333333333333337,0.08372093023255814,0.039793662490788556,0,0,1,0,0.0,0.1818181818181818,0.17708333333333337,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
144903-108,0.07005310619768451,0.11764705882352941,0,0.0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.24242424242424243,0,0.33333333333333337,0.1116279069767442,0.070744288872513,0,1,0,0,0.0,0.1818181818181818,0.23958333333333337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
